ID,ID (letter),Name,Year,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening,Author
152,,Lakewood to Tacoma Commuter Rail,1999,AR06,AR06,AR06,AR06,AR06,NAV,AR06,
152,,Lakewood to Tacoma Commuter Rail,2003,AR00,AR00,AR00,NAV,NAV,NAV,NAV,
152,,Lakewood to Tacoma Commuter Rail,2005,AR05,AR05,AR05,AR05,AR05,NAV,NAV,
153,,Pacific Avenue/SR 7 Corridor,2020,AR20,AR20,NAV,AR20,AR20,NAV,NAV,
153,,Pacific Avenue/SR 7 Corridor,2021,AR21,AR21,NAV,AR21,AR21,NAV,NAV,
153,,Pacific Avenue/SR 7 Corridor,2022,AR22,AR22,NAV,AR22,AR22,NAV,NAV,
154,,Central City Line,2017,AR17,AR17,NAV,AR17,NAV,NAV,NAV,
154,,Central City Line,2019,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
155,,Metra North Central Corridor,2005,AR05,AR05,AR05,AR05,AR05,NAV,AR05,
156,,Metra South West Corridor,2004,AR05,AR05,AR05,AR05,AR05,NAV,AR05,
157,,Central Area Circulator,1995,AR97,AR97,AR97,AR97,AR97,NAV,NAV,
158,,Ravenswood Line Extension,2003,AR07,AR07,AR07,AR07,AR07,AR07,AR07,
158,,Ravenswood Line Extension,2004,AR08,AR08,AR08,AR08,AR08,AR08,AR08,
158,,Ravenswood Line Extension,2005,AR03,AR03,AR03,AR03,AR03,AR03,NAV,
158,,Ravenswood Line Extension,2007,AR04,AR04,AR04,AR04,AR04,AR04,NAV,
158,,Ravenswood Line Extension,2008,AR05,AR05,AR05,AR05,AR05,NAV,NAV,
159,,Ashland Avenue BRT Phase I,2013,AR15,AR15,AR15,AR15,AR15,NAV,NAV,
160,,Red and Purple Line Modernization Project ,2013,AR15,AR15,AR15,AR15,AR15,NAV,NAV,
161,,Red and Purple Line Modernization Project Phase I,2014,AR15,AR15,AR15,AR15,NAV,NAV,AR15,
161,,Red and Purple Line Modernization Project Phase I,2015,AR16,AR16,AR16,AR16,AR16,NAV,NAV,
161,,Red and Purple Line Modernization Project Phase I,2016,AR18,AR18,AR18,AR18,AR18,NAV,NAV,
200,,Mason Transportation Corridor,2001,AR03,AR03,AR03,AR03,AR03,AR03,NAV,
200,,Mason Transportation Corridor,2007,AR11,AR11,AR11,AR11,AR11,AR11,NAV,
201,,San Fernando Valley East-West Transit Corridor,2000,AR02,AR02,AR02,AR02,AR02,AR02,NAV,
202,,Mid-City/Exposition LRT,2001,AR03,AR03,AR03,AR03,AR03,AR03,NAV,
203,,East Central Corridor,1993,AR95,AR95,AR95,AR95,AR95,AR95,NAV,
204,,Eastside Corridor LRT,2000,AR02,AR02,AR02,AR02,AR02,AR02,NAV,
205,a,MOS-3 North Hollywood Extension,1993,AR98,AR98,AR98,AR98,AR98,AR98,AR98,
205,a,MOS-3 North Hollywood Extension,1993,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
205,c,MOS-3 The Mid-City Extension,1993,AR97,AR97,AR97,AR97,NAV,NAV,AR98,
205,b,MOS-3 East Side Extension,1997,AR97,AR97,AR97,AR97,NAV,NAV,NAV,
205,,MOS-3 ,2000,AR97,AR97,AR97,AR97,AR97,AR97,NAV,
206,,Eastside Corridor Extension Phase 2,1993,AR97,AR97,AR97,AR97,AR97,AR97,AR97,
207,,LOSSAN Rail Corridor Improvement Project ,1997,AR97,AR97,AR97,AR97,AR97,AR97,NAV,
208,,Metro Gold Line Eastside Extension ,2000,AR10,AR10,AR10,AR10,AR10,AR10,AR10,
208,,Metro Gold Line Eastside Extension ,2002,BA13,BA13,BA13,BA13,BA13,BA13,BA13,
208,,Metro Gold Line Eastside Extension ,2004,BA13,BA13,BA13,BA13,BA13,BA13,BA13,
208,,Metro Gold Line Eastside Extension ,2009,BA13,BA13,BA13,BA13,BA13,BA13,BA13,
209,,Regional Connector,2011,PP18,PP18,PP18,PP18,PP18,PP18,PP18,
209,,Regional Connector,2014,PP18,PP18,PP18,PP18,PP18,PP18,PP18,
210,,Westside Subway Extension Section 1,2011,AR13,AR13,AR13,AR13,AR13,AR13,AR13,
211,,Westside Purple Line Extension Section 1,2011,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
211,,Westside Purple Line Extension Section 2,2014,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
212,,Westside Purple Line Extension Section 2,2014,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
212,,Westside Purple Line Extension Section 3,2016,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
213,,Westside Purple Line Extension Section 3,2018,PP19,PP19,PP19,PP19,PP19,PP19,PP19,
