ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
242,,SPRINTER Light Rail (Oceanside-Escondido) ,AR03,AR03,AR03,AR03,,NTD,,,AR03,AR03,AR03,am
243,,South LRT,AR97,NAV,AR97,AR97,,NTD,,,AR97,AR97,AR97,am
244,,Downtown Connector ,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,am
245,,Mid-Jordan LRT ,AR11,AR11,AR11,AR11,,NTD,,,AR11,AR11,AR11,am
246,,Weber County to Salt Lake City Commuter Rail ,AR05,AR07,AR05,AR05,,NTD,,,AR05,AR05,AR05,am
301,,Canal Streetcar Spine,AR97,AR98,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
302,,CBD to University LRT,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,mwj
303,,Central Avenue Bus Rapid Transit Project,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,AR18,mwj
304,,"Central Broward Transit Study, Phase I",PP15,PP15,PP15,PP15,,NTD,,,PP15,PP15,PP15,mwj
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,mwj
306,,Desire Streetcar Line,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,mwj
307,,Draper Transit Corridor,AR13,AR13,AR13,AR11,,NTD,,,AR11,AR11,AR13,mwj
308,,East First Coast Flyer BRT,PP16,PP16,PP16,PP16,,NTD,,,PP16,PP16,PP16,mwj
309,,East-West Corridor/Miami Intermodal Center,AR98,AR97,AR98,AR98,,NTD,,,AR98,AR98,AR98,mwj
309,a,East-West Corridor/Miami Intermodal Center (MOS),AR98,AR97,AR98,AR98,,NTD,,,AR98,AR98,AR98,mwj
310,,Flagler to duPont Place,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
310,a,Flagler to duPont Place - ASE Extension,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
311,,FrontRunner North Rail Project,BA13,BA13,BA13,BA13,,NTD,,,BA13,BA13,BA13,mwj
312,,Hudson Tunnel,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,AR18,mwj
313,a,Hudson-Bergen Waterfront Light Rail Transit System (MOS-1),AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
313,b,Hudson-Bergen Waterfront Light Rail Transit System (MOS-2),AR10,AR10,AR10,AR10,,NTD,,,AR10,AR10,AR10,mwj
313,,Hudson-Bergen Waterfront Light Rail Transit System ,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
314,,I-35 Commuter Rail,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,mwj
315,,JTA BRT North Corridor,AR12,AR12,AR12,AR12,,NTD,,,AR12,AR12,AR12,mwj
316,,JTA BRT Southeast Corridor,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,mwj
317,,Largo Metrorail Extension,AR97,AR00,AR97,AR00,,NTD,,,AR00,AR00,AR97,mwj
318,,"Martin Luther King, Jr. East Busway Extension",AR00,https://pittsburgh.pahighways.com/busways/ebusway.html,AR00,AR00,,NTD,,,AR00,AR00,AR00,mwj
319,,Miami (North 27th Avenue Corridor),AR97,AR00,AR98,AR98,,NTD,,,AR98,AR98,AR98,mwj
320,,Minillas Extension,AR01,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,mwj
321,,Newark-Elizabeth Rail Link,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
321,a,Newark-Elizabeth Rail Link (MOS I),AR00,AR01,AR00,AR01,,NTD,,,AR01,AR01,AR00,mwj
