ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
227,,El Camino Real Corridor BRT Project ,2013,14,Introduction,Small Starts,San Jose,CA,BRT,am
228,,Silicon Valley Berryessa Extension Project,2002,2,Expansion,New Starts,San Jose,CA,Heavy Rail,am
229,,Silicon Valley Phase II,2016,4,Expansion,New Starts,San Jose,CA,Heavy Rail,am
230,,Mid Coast Corridor (LR),1996,3,Expansion,New Starts,San Diego County,CA,LRT,am
231,,Oceanside-Escondido Rail Corridor ,2000,15,Introduction,New Starts,San Diego County,CA,Heavy Rail,am
232,,I-405/SR-55 Transitway and Direct Access HOV Ramps ,,NA,Improvement,New Starts,Orange County,CA,Transitway,am
233,,CenterLine LRT Project ,1998,35,Introduction,New Starts,Orange County,CA,LRT,am
234,,"San Diego County, California/Mission Valley East ",1998,4,Expansion,New Starts,San Diego,CA,LRT,am
235,,Mid-Coast Corridor Transit Project,2011,9,Expansion,New Starts,San Diego,CA,LRT,am
236,,Caltrain Peninsula Corridor Electrification Project ,2015,NA,Improvement,Core Capacity,San Carlos ,CA,Commuter Rail,am
237,,Blackstone/Kings Canyon Bus Rapid Transit,2010,27,Improvement,Small Starts,Fresno,CA,BRT,am
238,,Garden Grove Streetcar,2015,10,Introduction,New Starts,Santa Ana,CA,Streetcar,am
239,,East Bay BRT,2008,32,Introduction,Small Starts,San Leandro,CA,BRT,am
240,,San Rafael to Larkspur Regional Connection,2013,1,Expansion,Small Starts,San Rafael,CA,Commuter Rail,am
241,,Redlands Passenger Rail Project,2016,4,Introduction,Small Starts,San Bernadino,CA,Commuter Rail,am
242,,SPRINTER Light Rail (Oceanside-Escondido) ,2000,15,Introduction,New Starts,Oceanside,CA,LRT,am
243,,South LRT,1995,NAV,Introduction,New Starts,Salt Lake City,UT,LRT,am
244,,Downtown Connector ,1998,15,Expansion,New Starts,Salt Lake City,UT,LRT,am
245,,Mid-Jordan LRT ,2007,9,Expansion,New Starts,Salt Lake City,UT,LRT,am
246,,Weber County to Salt Lake City Commuter Rail ,2003,8,Introduction,New Starts,Salt Lake City,UT,Commuter Rail,am
301,,Canal Streetcar Spine,1995,11,Introduction,New Starts,New Orleans ,LA,Streetcar,mwj
302,,CBD to University LRT,1998,4,Expansion,New Starts,Salt Lake City,UT,LRT,mwj
303,,Central Avenue Bus Rapid Transit Project,2016,16,Introduction,Small Starts,St. Petersburg,FL,BRT,mwj
304,,"Central Broward Transit Study, Phase I",2015,13,Expansion,New Starts,Ft. Lauderdale ,FL,Streetcar,mwj
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,2007,12,Introduction,New Starts,Orlando,FL,Commuter Rail,mwj
306,,Desire Streetcar Line,2000,22,Expansion,New Starts,New Orleans ,LA,Streetcar,mwj
307,,Draper Transit Corridor,2009,3,Expansion,New Starts,Salt Lake City,UT,LRT,mwj
308,,East First Coast Flyer BRT,2015,12,Expansion,Small Starts,Jacksonville,FL,BRT,mwj
309,a,East-West Corridor/Miami Intermodal Center (MOS),1995,10,Expansion,New Starts,Miami,FL,Heavy Rail,mwj
309,,East-West Corridor/Miami Intermodal Center,1995,10,Expansion,New Starts,Miami,FL,Heavy Rail,mwj
310,a,Flagler to duPont Place - ASE Extension,1994,NAV,Expansion,New Starts,Jacksonville,FL,LRT,mwj
310,,Flagler to duPont Place,1991,NAV,Expansion,New Starts,Jacksonville,FL,LRT,mwj
311,,FrontRunner North Rail Project,2003,9,Introduction,New Starts,Salt Lake City,UT,Commuter Rail,mwj
312,,Hudson Tunnel,2016,NA,Improvement,New Starts,Secaucus,NJ,Heavy Rail,mwj
313,a,Hudson-Bergen Waterfront Light Rail Transit System (MOS-1),1993,16,Introduction,New Starts,Northern New Jersey,NJ,LRT,mwj
313,b,Hudson-Bergen Waterfront Light Rail Transit System (MOS-2),2000,7,Introduction,New Starts,Northern New Jersey,NJ,LRT,mwj
313,,Hudson-Bergen Waterfront Light Rail Transit System ,1993,30,Introduction,New Starts,Northern New Jersey,NJ,LRT,mwj
