ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
434,Austin Light Rail Corridors,AR-2003,Preliminary Engineering,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
435,MetroRapid Bus Rapid Transit Project ,AR-2010,Project Development,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
435,MetroRapid Bus Rapid Transit Project ,AR-2011,Project Development,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
435,MetroRapid Bus Rapid Transit Project ,BA,PCGA,BA,BA,BA,BA,BA
435,MetroRapid Bus Rapid Transit Project ,BA,Project Opening,BA,BA,BA,BA,BA
436,Dyer Avenue Bus Rapid Transit System,AR-2013,Project Development,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
436,Dyer Avenue Bus Rapid Transit System,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
436,Dyer Avenue Bus Rapid Transit System,AR-2015,Project Development,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
436,Dyer Avenue Bus Rapid Transit System,AR-2016,Project Development,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
437,Montana Avenue Rapid Transit System,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
437,Montana Avenue Rapid Transit System,AR-2016,Project Development,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
437,Montana Avenue Rapid Transit System,PP,Project Development,PP,PP,PP,PP,PP
438,Sun Metro Areas Rapid Transit (SMART) Starter Line ,AR-2005,Preliminary Engineering,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
439,TEX Rail,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
439,TEX Rail,AR-2015,Project Development,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
439,TEX Rail,AR-2016,Project Development,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
439,TEX Rail,PP-2015,Engineering,PP-2015,PP-2015,PP-2015,PP-2015,PP-2015
439,TEX Rail,PP-2017,FFGA Awarded,PP-2017,PP-2017,PP-2017,PP-2017,PP-2017
439,TEX Rail,PP-2020,Project Opening,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
